molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,KAIN,Fock operator,Fock matrix,Total SCF
ch4_002,4,04,04,1.44190e+00,1.10969e+00,14.0906,4.27214e-01,7.01147e+00,1.47942e+00,2.57473e+01
ch4_002,4,04,08,9.44198e-01,5.84999e-01,7.70308,3.33281e-01,3.78162e+00,8.93938e-01,1.43979e+01
ch4_002,4,04,16,7.20155e-01,3.41085e-01,4.8378,2.75227e-01,2.25887e+00,6.30524e-01,9.27362e+00
ch4_002,4,04,32,9.27003e-01,2.27930e-01,3.4065,3.10273e-01,1.49977e+00,4.78329e-01,6.98940e+00
ch4_002,4,08,01,3.13588e+00,2.53737e+00,34.0322,5.27786e-01,2.62716e+01,3.15893e+00,7.03960e+01
ch4_002,4,08,02,1.85698e+00,1.31496e+00,17.6372,3.26908e-01,1.36983e+01,1.74469e+00,3.71030e+01
ch4_002,4,08,04,1.14549e+00,6.75613e-01,9.10862,2.28151e-01,7.06133e+00,1.02315e+00,1.96057e+01
ch4_002,4,08,08,8.20316e-01,3.60161e-01,5.23213,1.76364e-01,3.97387e+00,6.43544e-01,1.15375e+01
ch4_002,4,08,16,6.67819e-01,2.08590e-01,3.24298,1.50035e-01,2.38624e+00,4.75411e-01,7.43635e+00
ch4_002,4,08,32,8.76481e-01,1.57230e-01,2.46833,1.66613e-01,1.77997e+00,3.77295e-01,6.10966e+00
ch4_002,5,01,01,3.21682e+01,4.09534e+01,534.564,6.93308e+00,8.00337e+01,3.88093e+01,7.31704e+02
ch4_002,5,01,02,1.44636e+01,1.65543e+01,236.705,3.83002e+00,3.68374e+01,2.05315e+01,3.28045e+02
ch4_002,5,01,04,8.41891e+00,8.51671e+00,121.73,2.92821e+00,1.86636e+01,1.12831e+01,1.70710e+02
ch4_002,5,01,08,5.43278e+00,4.84258e+00,66.1514,2.30163e+00,1.02310e+01,6.71611e+00,9.50889e+01
ch4_002,5,01,16,3.89664e+00,2.63028e+00,39.3963,1.87410e+00,5.73837e+00,4.23027e+00,5.73822e+01
ch4_002,5,01,32,2.96603e+00,1.68610e+00,26.8736,1.67950e+00,3.65093e+00,3.00566e+00,3.94681e+01
ch4_002,5,02,01,1.60202e+01,1.70937e+01,259.621,3.41292e+00,6.63936e+01,2.21050e+01,3.85090e+02
ch4_002,5,02,02,9.05295e+00,8.80989e+00,133.579,2.09852e+00,3.43310e+01,1.17332e+01,2.00003e+02
ch4_002,5,02,04,5.39530e+00,4.47066e+00,68.486,1.37414e+00,1.77150e+01,6.44785e+00,1.04471e+02
ch4_002,5,02,08,3.61130e+00,2.34611e+00,37.1221,1.11912e+00,9.27256e+00,3.84096e+00,5.77730e+01
ch4_002,5,02,16,2.80379e+00,1.35931e+00,22.5067,8.54352e-01,5.49701e+00,2.56188e+00,3.61624e+01
ch4_002,5,02,32,5.10112e+00,2.01601e+00,27.6005,1.11353e+00,6.09517e+00,3.37389e+00,4.59043e+01
ch4_002,5,04,01,1.05208e+01,1.00577e+01,152.868,2.47967e+00,6.96079e+01,1.41875e+01,2.60614e+02
ch4_002,5,04,02,5.91217e+00,5.29111e+00,78.3992,1.29871e+00,3.48544e+01,7.57799e+00,1.34072e+02
ch4_002,5,04,04,4.13309e+00,3.10231e+00,41.8669,1.34450e+00,2.00346e+01,4.95700e+00,7.57915e+01
ch4_002,5,04,08,2.53829e+00,1.50242e+00,24.0357,9.79896e-01,9.74734e+00,2.98106e+00,4.21634e+01
ch4_002,5,04,16,2.53301e+00,9.36087e-01,14.9213,7.85181e-01,6.49533e+00,1.97297e+00,2.80380e+01
ch4_002,5,04,32,2.59766e+00,9.64833e-01,14.5399,7.93942e-01,5.62470e+00,1.88898e+00,2.68529e+01
ch4_002,5,08,01,8.03506e+00,6.66528e+00,99.9462,1.73842e+00,7.26900e+01,9.74290e+00,2.00682e+02
ch4_002,5,08,02,4.76278e+00,3.47344e+00,51.5272,1.04932e+00,3.61827e+01,6.23507e+00,1.04464e+02
ch4_002,5,08,04,2.97154e+00,1.74600e+00,26.7563,6.98491e-01,1.82610e+01,3.01186e+00,5.43183e+01
ch4_002,5,08,08,2.07306e+00,9.95080e-01,15.0678,4.99248e-01,1.01768e+01,1.86180e+00,3.14119e+01
ch4_002,5,08,16,1.87508e+00,6.18292e-01,9.74914,4.01981e-01,6.55947e+00,1.37946e+00,2.12709e+01
ch4_002,5,08,32,1.90808e+00,6.38461e-01,9.58945,5.97310e-01,5.65442e+00,1.35574e+00,2.05737e+01
ch4_002,6,01,01,4.65648e+01,5.51476e+01,1004,1.34532e+01,1.32967e+02,7.28601e+01,1.31910e+03
ch4_002,6,01,02,2.49440e+01,2.82385e+01,510.415,7.75720e+00,6.72406e+01,3.80908e+01,6.73685e+02
ch4_002,6,01,04,1.43773e+01,1.46888e+01,261.071,5.52108e+00,3.43256e+01,2.10358e+01,3.49197e+02
ch4_002,6,01,08,9.07734e+00,8.10299e+00,138.502,4.08518e+00,1.83483e+01,1.20855e+01,1.88905e+02
ch4_002,6,01,16,6.30034e+00,4.58931e+00,79.8245,3.41462e+00,1.03303e+01,7.58551e+00,1.10782e+02
ch4_002,6,01,32,5.11267e+00,2.79359e+00,52.6063,3.09102e+00,6.63280e+00,5.80271e+00,7.51482e+01
ch4_002,6,02,01,2.80293e+01,3.03747e+01,572.437,7.30724e+00,1.24542e+02,4.17488e+01,8.03588e+02
ch4_002,6,02,02,1.56333e+01,1.55143e+01,289.036,4.29768e+00,6.31753e+01,2.20700e+01,4.09608e+02
ch4_002,6,02,04,9.40761e+00,7.92441e+00,147.057,2.96065e+00,3.20585e+01,1.20195e+01,2.11391e+02
ch4_002,6,02,08,6.35635e+00,4.12085e+00,77.7358,2.09050e+00,1.73734e+01,7.11090e+00,1.15108e+02
ch4_002,6,02,16,4.80275e+00,2.27890e+00,45.033,1.59627e+00,9.80042e+00,4.68797e+00,6.88426e+01
ch4_002,6,02,32,9.31363e+00,3.23757e+00,48.831,2.11220e+00,9.65828e+00,5.51822e+00,7.90670e+01
ch4_002,6,04,01,1.86456e+01,1.85006e+01,352.098,5.45032e+00,1.33083e+02,2.90994e+01,5.57254e+02
ch4_002,6,04,02,1.01791e+01,9.72644e+00,175.646,3.03675e+00,6.54441e+01,1.43793e+01,2.78891e+02
ch4_002,6,04,04,6.68638e+00,5.03808e+00,92.0032,2.55983e+00,3.52278e+01,8.79042e+00,1.50477e+02
ch4_002,6,04,08,4.99973e+00,2.75902e+00,49.4702,1.73364e+00,1.89709e+01,5.25901e+00,8.37287e+01
ch4_002,6,04,16,4.40273e+00,1.72403e+00,32.0489,1.39937e+00,1.15888e+01,3.34641e+00,5.48945e+01
ch4_002,6,04,32,4.57311e+00,1.71317e+00,27.5147,1.28981e+00,9.61727e+00,3.29398e+00,4.87827e+01
ch4_002,6,08,01,1.45516e+01,1.21003e+01,227.357,3.81675e+00,1.30535e+02,2.14609e+01,4.12135e+02
ch4_002,6,08,02,8.53236e+00,6.51778e+00,113.989,2.11988e+00,6.61345e+01,9.72232e+00,2.08654e+02
ch4_002,6,08,04,4.92121e+00,3.10624e+00,60.3578,1.34782e+00,3.55592e+01,5.85802e+00,1.12466e+02
ch4_002,6,08,08,3.60944e+00,1.73369e+00,31.9172,9.98392e-01,1.86387e+01,3.50484e+00,6.15077e+01
ch4_002,6,08,16,3.14617e+00,1.02730e+00,19.0335,7.92816e-01,1.15558e+01,2.53775e+00,3.92687e+01
ch4_002,6,08,32,3.30139e+00,9.25309e-01,17.5343,9.45611e-01,9.12567e+00,2.22736e+00,3.49612e+01
ch4_004,4,01,01,2.68783e+01,2.61668e+01,327.154,4.68492e+00,4.71557e+01,3.00342e+01,4.62112e+02
ch4_004,4,01,02,1.49236e+01,1.37787e+01,169.677,3.07280e+00,2.43505e+01,1.62619e+01,2.42082e+02
ch4_004,4,01,04,9.80041e+00,7.79382e+00,89.2987,2.24569e+00,1.24575e+01,9.33843e+00,1.31218e+02
ch4_004,4,01,08,6.31682e+00,3.93846e+00,48.7576,1.87503e+00,6.82263e+00,5.58966e+00,7.35272e+01
ch4_004,4,01,16,4.60757e+00,2.52070e+00,30.2672,1.65842e+00,3.77285e+00,3.84371e+00,4.68452e+01
ch4_004,4,01,32,4.05188e+00,1.52797e+00,21.2482,1.60503e+00,2.44057e+00,2.93007e+00,3.38292e+01
ch4_004,4,02,01,1.58931e+01,1.41690e+01,174.572,2.54737e+00,4.30154e+01,1.66578e+01,2.68177e+02
ch4_004,4,02,02,9.28744e+00,7.29488e+00,90.8405,1.70766e+00,2.25500e+01,9.15025e+00,1.41672e+02
ch4_004,4,02,04,5.83550e+00,3.72509e+00,46.6942,1.13500e+00,1.13236e+01,5.15812e+00,7.46282e+01
ch4_004,4,02,08,4.21833e+00,1.98224e+00,25.8586,8.64216e-01,6.02107e+00,3.30193e+00,4.31012e+01
ch4_004,4,02,16,3.41625e+00,1.15033e+00,15.9998,7.54424e-01,3.44801e+00,2.30684e+00,2.78628e+01
ch4_004,4,02,32,3.09467e+00,7.71862e-01,11.643,1.12496e+00,2.22098e+00,1.95448e+00,2.10306e+01
ch4_004,4,04,01,9.24037e+00,8.04753e+00,100.08,1.48868e+00,4.17380e+01,9.48691e+00,1.71325e+02
ch4_004,4,04,02,5.39444e+00,4.04515e+00,50.8906,9.32979e-01,2.12869e+01,5.13497e+00,8.86000e+01
ch4_004,4,04,04,3.76749e+00,2.20640e+00,27.236,8.08124e-01,1.10279e+01,3.08612e+00,4.87843e+01
ch4_004,4,04,08,3.01181e+00,1.18989e+00,15.306,6.84140e-01,6.07424e+00,2.00759e+00,2.88318e+01
ch4_004,4,04,16,2.31221e+00,6.65830e-01,9.17834,5.86189e-01,3.47744e+00,1.53011e+00,1.83194e+01
ch4_004,4,04,32,2.16370e+00,4.86469e-01,6.42021,6.02230e-01,2.14766e+00,1.17370e+00,1.36465e+01
ch4_004,4,08,01,5.60883e+00,4.39943e+00,56.533,8.93287e-01,4.12869e+01,5.47605e+00,1.15856e+02
ch4_004,4,08,02,3.37996e+00,2.25492e+00,29.1592,5.71226e-01,2.12019e+01,3.18941e+00,6.08361e+01
ch4_004,4,08,04,2.25690e+00,1.16533e+00,15.1046,3.56834e-01,1.09847e+01,1.83481e+00,3.25230e+01
ch4_004,4,08,08,1.71226e+00,6.22464e-01,8.34772,2.92633e-01,6.02375e+00,1.22994e+00,1.89455e+01
ch4_004,4,08,16,1.48694e+00,3.55951e-01,5.22403,2.77479e-01,3.60817e+00,9.37470e-01,1.25285e+01
ch4_004,4,08,32,1.30818e+00,3.17968e-01,3.9131,3.58461e-01,2.44119e+00,8.06826e-01,9.77441e+00
ch4_004,4,16,01,4.55087e+00,2.68883e+00,35.964,6.01050e-01,4.40107e+01,3.63065e+00,9.34851e+01
ch4_004,4,16,02,2.94055e+00,1.38666e+00,18.6944,3.77077e-01,2.21236e+01,2.14638e+00,4.90677e+01
ch4_004,4,16,04,2.03562e+00,7.13962e-01,9.73413,2.52246e-01,1.17290e+01,1.43809e+00,2.69172e+01
ch4_004,4,16,08,1.65810e+00,3.80765e-01,5.48683,2.05610e-01,6.81132e+00,9.93365e-01,1.64025e+01
ch4_004,4,16,16,1.40211e+00,2.48050e-01,3.61925,1.66021e-01,4.21824e+00,7.64615e-01,1.13362e+01
ch4_004,4,16,32,1.15176e+00,1.44525e-01,2.63013,1.83771e-01,3.04414e+00,6.25213e-01,8.44609e+00
ch4_004,5,01,01,6.88159e+01,7.38952e+01,1015.64,1.45430e+01,1.18900e+02,9.01262e+01,1.38090e+03
ch4_004,5,01,02,3.82154e+01,3.79904e+01,518.622,8.86248e+00,6.04967e+01,4.79199e+01,7.11928e+02
ch4_004,5,01,04,2.40687e+01,2.02178e+01,267.516,6.42259e+00,3.08047e+01,2.71992e+01,3.76525e+02
ch4_004,5,01,08,1.68360e+01,1.10856e+01,144.63,4.80121e+00,1.68140e+01,1.68086e+01,2.11636e+02
ch4_004,5,01,16,1.20764e+01,5.98001e+00,84.4579,4.04429e+00,9.06600e+00,1.11576e+01,1.27465e+02
ch4_004,5,01,32,1.05308e+01,3.78017e+00,56.5937,3.92641e+00,5.64196e+00,8.69621e+00,8.96573e+01
ch4_004,5,02,01,4.06739e+01,3.96914e+01,547.446,8.01300e+00,1.07155e+02,4.96221e+01,7.95413e+02
ch4_004,5,02,02,2.35470e+01,2.01525e+01,280.866,4.75464e+00,5.45940e+01,2.69461e+01,4.13192e+02
ch4_004,5,02,04,1.48791e+01,1.03179e+01,142.632,3.12625e+00,2.77903e+01,1.52641e+01,2.15927e+02
ch4_004,5,02,08,1.05714e+01,5.39231e+00,76.4118,2.19768e+00,1.45347e+01,9.43756e+00,1.20643e+02
ch4_004,5,02,16,8.51988e+00,3.05331e+00,44.8869,1.83911e+00,8.25481e+00,6.74994e+00,7.52945e+01
ch4_004,5,02,32,1.93731e+01,3.96548e+00,50.2879,2.58461e+00,8.84590e+00,8.56056e+00,9.49841e+01
ch4_004,5,04,01,2.86049e+01,2.54560e+01,323.28,5.65297e+00,1.30547e+02,4.29657e+01,5.61098e+02
ch4_004,5,04,02,1.58234e+01,1.21095e+01,164.418,3.98139e+00,5.91929e+01,2.00043e+01,2.77221e+02
ch4_004,5,04,04,1.17365e+01,6.68165e+00,85.1078,3.11257e+00,3.17733e+01,1.26143e+01,1.52226e+02
ch4_004,5,04,08,9.26630e+00,3.86749e+00,48.4262,2.00733e+00,1.56841e+01,6.38423e+00,8.69526e+01
ch4_004,5,04,16,1.00559e+01,2.27972e+00,29.7476,1.63452e+00,9.87048e+00,5.09765e+00,6.01061e+01
ch4_004,5,04,32,9.55177e+00,2.28576e+00,28.3441,1.45191e+00,8.09197e+00,4.70031e+00,5.57673e+01
ch4_004,5,08,01,1.54609e+01,1.28631e+01,188.739,3.36012e+00,1.13632e+02,2.18501e+01,3.59944e+02
ch4_004,5,08,02,1.00477e+01,6.83407e+00,92.5867,2.52833e+00,6.38472e+01,1.22881e+01,1.90451e+02
ch4_004,5,08,04,6.27509e+00,3.63629e+00,52.5783,1.44389e+00,2.93590e+01,5.97444e+00,1.01147e+02
ch4_004,5,08,08,4.65075e+00,1.80581e+00,28.6705,1.05306e+00,1.65221e+01,4.10794e+00,5.86582e+01
ch4_004,5,08,16,4.40618e+00,1.12576e+00,16.9003,7.09474e-01,1.01740e+01,3.10518e+00,3.86980e+01
ch4_004,5,08,32,4.58069e+00,1.27078e+00,16.4597,9.46347e-01,8.60868e+00,3.00664e+00,3.63090e+01
ch4_004,5,16,01,1.31464e+01,8.96287e+00,127.58,2.67839e+00,1.18395e+02,1.18602e+01,2.88132e+02
ch4_004,5,16,02,8.42682e+00,5.05654e+00,60.3827,1.73124e+00,6.32032e+01,7.24213e+00,1.49637e+02
ch4_004,5,16,04,5.36509e+00,2.23314e+00,31.1968,9.46544e-01,3.11887e+01,4.95525e+00,7.84854e+01
ch4_004,5,16,08,4.29511e+00,1.29406e+00,17.0133,5.34719e-01,1.74708e+01,3.08825e+00,4.60781e+01
ch4_004,5,16,16,3.82924e+00,8.02019e-01,11.0627,5.56252e-01,1.12578e+01,2.42322e+00,3.17479e+01
ch4_004,5,16,32,3.77042e+00,8.16996e-01,12.4053,7.72505e-01,9.17452e+00,2.34996e+00,3.12143e+01
ch4_004,6,01,01,1.28590e+02,1.42999e+02,2399.93,3.26345e+01,2.35004e+02,1.85440e+02,3.11709e+03
ch4_004,6,01,02,7.14231e+01,7.28324e+01,1220.91,1.92852e+01,1.19036e+02,9.91431e+01,1.59932e+03
ch4_004,6,01,04,4.49385e+01,3.96595e+01,639.787,1.35297e+01,6.18510e+01,5.65763e+01,8.54859e+02
ch4_004,6,01,08,2.99561e+01,2.11926e+01,333.489,1.04707e+01,3.20144e+01,3.38235e+01,4.60244e+02
ch4_004,6,01,16,2.33166e+01,1.22257e+01,188.364,7.86241e+00,1.76903e+01,2.27930e+01,2.72739e+02
ch4_004,6,01,32,1.86131e+01,6.92085e+00,118.075,6.88430e+00,1.07467e+01,1.72811e+01,1.79827e+02
ch4_004,6,02,01,7.37190e+01,7.61297e+01,1296.38,1.80011e+01,2.11319e+02,1.04548e+02,1.78207e+03
ch4_004,6,02,02,4.32951e+01,3.86371e+01,653.656,1.02891e+01,1.06425e+02,5.51129e+01,9.09508e+02
ch4_004,6,02,04,2.76879e+01,2.00161e+01,335.578,6.78794e+00,5.47567e+01,3.14008e+01,4.78493e+02
ch4_004,6,02,08,1.94558e+01,1.02738e+01,173.944,4.78187e+00,2.82651e+01,1.92311e+01,2.58718e+02
ch4_004,6,02,16,1.54917e+01,5.61517e+00,98.919,3.77543e+00,1.57714e+01,1.32962e+01,1.55488e+02
ch4_004,6,02,32,3.89266e+01,8.46569e+00,117.576,4.42506e+00,1.59579e+01,1.70935e+01,2.04714e+02
ch4_004,6,04,01,5.53701e+01,4.77949e+01,796.413,1.27558e+01,2.35093e+02,7.77465e+01,1.22878e+03
ch4_004,6,04,02,3.16202e+01,2.49412e+01,405.846,7.27896e+00,1.16896e+02,4.17952e+01,6.31509e+02
ch4_004,6,04,04,2.32632e+01,1.30666e+01,208.565,4.90260e+00,6.29942e+01,2.38071e+01,3.39598e+02
ch4_004,6,04,08,1.93820e+01,6.86009e+00,119.296,3.63704e+00,3.25821e+01,1.49322e+01,1.99183e+02
ch4_004,6,04,16,1.88546e+01,4.74955e+00,71.0292,2.92845e+00,1.96997e+01,1.06674e+01,1.30135e+02
ch4_004,6,04,32,1.94383e+01,4.45439e+00,64.1851,2.77881e+00,1.50314e+01,9.81274e+00,1.17667e+02
ch4_004,6,08,01,3.21507e+01,2.71751e+01,455.751,7.77549e+00,2.12639e+02,4.30102e+01,7.84828e+02
ch4_004,6,08,02,1.90970e+01,1.36277e+01,229.577,4.29852e+00,1.11365e+02,2.40574e+01,4.06613e+02
ch4_004,6,08,04,1.24640e+01,7.58596e+00,115.856,2.69558e+00,5.81179e+01,1.27139e+01,2.13078e+02
ch4_004,6,08,08,1.03150e+01,3.89657e+00,62.0892,1.98487e+00,3.12972e+01,8.41651e+00,1.21091e+02
ch4_004,6,08,16,8.87417e+00,2.22100e+00,37.735,1.44599e+00,1.86858e+01,6.04807e+00,7.81499e+01
ch4_004,6,08,32,9.66985e+00,2.72175e+00,37.6987,1.58001e+00,1.58352e+01,5.90124e+00,7.61603e+01
ch4_004,6,16,01,2.58739e+01,1.80119e+01,283.959,5.36170e+00,2.18099e+02,2.58993e+01,5.87291e+02
ch4_004,6,16,02,1.53749e+01,8.59871e+00,144.528,3.28561e+00,1.15965e+02,1.51535e+01,3.08862e+02
ch4_004,6,16,04,1.04370e+01,4.23159e+00,79.8094,1.80910e+00,6.06812e+01,9.11768e+00,1.70835e+02
ch4_004,6,16,08,8.04033e+00,2.34151e+00,41.1499,1.34773e+00,3.48240e+01,6.32450e+00,9.78815e+01
ch4_004,6,16,16,7.06167e+00,1.40377e+00,24.853,1.04998e+00,2.07005e+01,4.48877e+00,6.27271e+01
ch4_004,6,16,32,7.00535e+00,1.34431e+00,24.8625,1.13856e+00,1.78139e+01,4.25817e+00,5.94848e+01
ch4_006,4,01,01,4.60210e+01,4.14407e+01,541.874,7.27214e+00,6.98561e+01,5.07489e+01,7.59617e+02
ch4_006,4,01,02,2.75245e+01,2.18553e+01,281.016,4.62559e+00,3.57986e+01,2.89053e+01,4.01562e+02
ch4_006,4,01,04,1.73483e+01,1.15322e+01,147.914,3.49206e+00,1.82793e+01,1.62887e+01,2.16361e+02
ch4_006,4,01,08,1.21591e+01,6.19440e+00,81.6899,2.70431e+00,9.91329e+00,1.02495e+01,1.24703e+02
ch4_006,4,01,16,9.93875e+00,3.60774e+00,51.2814,2.35417e+00,5.38318e+00,7.31332e+00,8.14002e+01
ch4_006,4,01,32,8.47277e+00,2.42296e+00,34.9102,2.15330e+00,3.37115e+00,5.64633e+00,5.82207e+01
ch4_006,4,02,01,2.70115e+01,2.17094e+01,285.291,3.96350e+00,6.20113e+01,2.69412e+01,4.30278e+02
ch4_006,4,02,02,1.64369e+01,1.12918e+01,148.531,2.49838e+00,3.17446e+01,1.52652e+01,2.28200e+02
ch4_006,4,02,04,1.05410e+01,5.86349e+00,75.8757,1.61227e+00,1.62179e+01,8.84375e+00,1.21012e+02
ch4_006,4,02,08,7.79436e+00,3.08965e+00,41.7218,1.19444e+00,8.58723e+00,5.68655e+00,6.99033e+01
ch4_006,4,02,16,6.46504e+00,1.78610e+00,25.3042,1.04458e+00,4.80929e+00,4.17034e+00,4.53120e+01
ch4_006,4,02,32,5.83178e+00,1.29734e+00,18.6284,1.42837e+00,3.04062e+00,3.65737e+00,3.53867e+01
ch4_006,4,04,01,1.70441e+01,1.22783e+01,151.695,2.17466e+00,6.51319e+01,1.88879e+01,2.70466e+02
ch4_006,4,04,02,9.34073e+00,5.81923e+00,77.2098,1.30696e+00,2.97847e+01,7.97895e+00,1.33370e+02
ch4_006,4,04,04,6.98685e+00,3.18214e+00,41.2823,1.14496e+00,1.55509e+01,5.07118e+00,7.47585e+01
ch4_006,4,04,08,5.36062e+00,1.66190e+00,22.3368,9.42424e-01,8.23445e+00,3.35225e+00,4.32637e+01
ch4_006,4,04,16,4.64668e+00,9.64458e-01,14.0792,7.81526e-01,4.83043e+00,2.55695e+00,2.92515e+01
ch4_006,4,04,32,3.96559e+00,5.98889e-01,9.4864,8.21259e-01,3.04937e+00,2.10616e+00,2.10704e+01
ch4_006,4,08,01,9.96862e+00,5.90594e+00,79.8152,1.17113e+00,5.81818e+01,7.93828e+00,1.65800e+02
ch4_006,4,08,02,6.09354e+00,3.04692e+00,40.8901,7.08428e-01,2.97521e+01,4.57071e+00,8.70034e+01
ch4_006,4,08,04,4.13051e+00,1.57004e+00,21.2092,4.55560e-01,1.55043e+01,2.93389e+00,4.72704e+01
ch4_006,4,08,08,3.15494e+00,8.40558e-01,12.1699,3.66330e-01,8.67661e+00,2.14828e+00,2.86341e+01
ch4_006,4,08,16,2.67631e+00,4.86161e-01,7.38553,3.14183e-01,4.98872e+00,1.46843e+00,1.88898e+01
ch4_006,4,08,32,2.71476e+00,4.50513e-01,5.35434,5.18350e-01,3.20021e+00,1.43834e+00,1.48283e+01
ch4_006,4,16,01,6.87481e+00,4.16337e+00,51.2227,1.12729e+00,6.26064e+01,5.85016e+00,1.34535e+02
ch4_006,4,16,02,4.52755e+00,2.21698e+00,26.3101,7.14830e-01,3.11548e+01,3.36612e+00,7.01783e+01
ch4_006,4,16,04,3.34588e+00,1.20186e+00,13.7063,4.01177e-01,1.67922e+01,2.23945e+00,3.92793e+01
ch4_006,4,16,08,2.81445e+00,6.99572e-01,7.66967,4.03411e-01,9.55264e+00,1.70227e+00,2.42264e+01
ch4_006,4,16,16,2.22410e+00,4.23924e-01,4.71056,3.20566e-01,5.79571e+00,1.25562e+00,1.57364e+01
ch4_006,4,16,32,2.01656e+00,4.71954e-01,3.46923,4.17229e-01,4.19413e+00,1.09720e+00,1.26792e+01
ch4_006,5,01,01,1.27719e+02,1.21811e+02,1649.05,2.36352e+01,1.74422e+02,1.48321e+02,2.24875e+03
ch4_006,5,01,02,7.36976e+01,6.27679e+01,840.789,1.44036e+01,8.92600e+01,8.14843e+01,1.16615e+03
ch4_006,5,01,04,4.86554e+01,3.44175e+01,433.021,1.06136e+01,4.64296e+01,4.85239e+01,6.25070e+02
ch4_006,5,01,08,3.36956e+01,1.74276e+01,232.871,7.85079e+00,2.38368e+01,2.93849e+01,3.48958e+02
ch4_006,5,01,16,2.74805e+01,1.07124e+01,137.347,6.38921e+00,1.32299e+01,2.10869e+01,2.19935e+02
ch4_006,5,01,32,2.43377e+01,6.59685e+00,89.1775,5.75660e+00,7.81744e+00,1.67745e+01,1.53707e+02
ch4_006,5,02,01,7.35026e+01,6.41962e+01,859.633,1.31095e+01,1.54326e+02,8.14333e+01,1.25389e+03
ch4_006,5,02,02,4.38845e+01,3.29671e+01,438.96,7.78957e+00,7.85627e+01,4.49385e+01,6.53148e+02
ch4_006,5,02,04,2.90423e+01,1.67281e+01,225.731,5.00956e+00,3.96294e+01,2.61983e+01,3.47456e+02
ch4_006,5,02,08,2.14601e+01,8.65414e+00,119.556,3.70802e+00,2.07357e+01,1.67195e+01,1.95667e+02
ch4_006,5,02,16,1.77019e+01,4.83418e+00,70.6391,3.28389e+00,1.15876e+01,1.18062e+01,1.23693e+02
ch4_006,5,02,32,5.40199e+01,1.09874e+01,89.6883,3.70888e+00,1.36267e+01,1.73496e+01,1.94054e+02
ch4_006,5,04,01,5.70614e+01,3.62405e+01,503.721,1.04116e+01,1.74382e+02,6.67426e+01,8.55734e+02
ch4_006,5,04,02,3.20281e+01,2.03985e+01,259.502,4.97507e+00,9.18439e+01,3.45788e+01,4.49287e+02
ch4_006,5,04,04,2.55029e+01,1.07953e+01,134.342,4.18667e+00,4.95869e+01,2.23347e+01,2.50860e+02
ch4_006,5,04,08,2.19244e+01,5.62507e+00,70.3042,3.15808e+00,2.66626e+01,1.26177e+01,1.44008e+02
ch4_006,5,04,16,2.12058e+01,4.12127e+00,49.1032,2.42811e+00,1.54284e+01,9.24176e+00,1.04918e+02
ch4_006,5,04,32,2.10646e+01,3.61891e+00,43.2311,1.97759e+00,1.17000e+01,8.83441e+00,9.38578e+01
ch4_006,5,08,01,3.47734e+01,2.20487e+01,290.804,4.50324e+00,1.66998e+02,3.03515e+01,5.58058e+02
ch4_006,5,08,02,1.94510e+01,1.04177e+01,134.728,2.89843e+00,8.48044e+01,1.87471e+01,2.76385e+02
ch4_006,5,08,04,1.30254e+01,5.37582e+00,79.5025,1.95115e+00,4.39039e+01,1.01865e+01,1.57883e+02
ch4_006,5,08,08,1.12058e+01,3.16964e+00,41.2875,1.15636e+00,2.27836e+01,6.66866e+00,8.98724e+01
