molecule,MPI,OMP,orbs,Position matrix,Foster-Boys,Rotation,Total localize
alkane_040,112,16,161,6.89289e+01,1.15782e+00,6.22597e+01,1.32347e+02
alkane_040,112,32,161,6.95871e+01,8.99334e-01,7.09468e+01,1.41434e+02
alkane_040,128,08,161,5.86946e+01,1.61632e+00,8.06593e+01,1.40971e+02
alkane_040,128,16,161,4.87573e+01,1.17571e+00,7.19223e+01,1.21856e+02
alkane_040,128,32,161,5.48535e+01,9.26610e-01,7.78879e+01,1.33669e+02
alkane_050,016,16,201,3.85079e+02,2.26055e+00,1.55748e+02,5.43088e+02
alkane_050,016,32,201,4.23704e+02,2.04438e+00,1.32657e+02,5.58406e+02
alkane_050,032,08,201,2.34753e+02,3.62639e+00,1.34843e+02,3.73223e+02
alkane_050,032,16,201,2.15446e+02,2.23357e+00,1.00260e+02,3.17940e+02
alkane_050,032,32,201,2.28049e+02,2.23062e+00,1.12839e+02,3.43119e+02
alkane_050,048,16,201,1.67539e+02,2.21761e+00,1.16916e+02,2.86674e+02
alkane_050,048,32,201,1.73863e+02,1.97858e+00,1.25053e+02,3.00896e+02
alkane_050,064,08,201,2.01303e+02,3.55168e+00,1.19212e+02,3.24075e+02
alkane_050,064,16,201,1.35147e+02,2.28250e+00,9.68305e+01,2.34260e+02
alkane_050,064,32,201,1.41553e+02,2.00299e+00,1.02345e+02,2.45947e+02
alkane_050,080,08,201,1.56683e+02,3.58528e+00,1.03688e+02,2.63957e+02
alkane_050,080,16,201,1.29544e+02,2.53183e+00,8.60991e+01,2.18176e+02
alkane_050,080,32,201,1.34871e+02,1.99612e+00,1.01224e+02,2.38092e+02
alkane_050,096,08,201,1.18646e+02,4.10698e+00,1.04745e+02,2.27499e+02
alkane_050,096,16,201,1.04086e+02,2.22577e+00,8.94477e+01,1.95760e+02
alkane_050,096,32,201,1.12485e+02,2.24250e+00,1.10764e+02,2.25578e+02
alkane_050,112,08,201,1.15398e+02,3.49688e+00,9.13913e+01,2.10287e+02
alkane_050,112,16,201,1.00740e+02,2.26750e+00,7.78591e+01,1.80868e+02
alkane_050,112,32,201,1.05697e+02,2.28007e+00,9.13789e+01,1.99357e+02
alkane_050,128,08,201,1.35716e+02,3.51154e+00,9.84010e+01,2.37641e+02
alkane_050,128,16,201,1.13957e+02,2.26140e+00,8.98444e+01,2.06064e+02
alkane_050,128,32,201,1.18440e+02,2.15241e+00,9.80469e+01,2.18640e+02
alkane_060,016,32,241,6.94973e+02,4.08543e+00,1.94625e+02,8.93685e+02
alkane_060,032,16,241,3.49726e+02,4.71010e+00,1.70536e+02,5.24973e+02
alkane_060,032,32,241,4.00097e+02,4.09127e+00,1.75675e+02,5.79865e+02
alkane_060,048,16,241,2.52670e+02,4.78057e+00,1.72567e+02,4.30019e+02
alkane_060,048,32,241,2.57388e+02,3.98714e+00,1.58495e+02,4.19871e+02
alkane_060,064,08,241,2.45963e+02,6.90599e+00,1.73108e+02,4.25979e+02
alkane_060,064,16,241,2.15125e+02,4.71245e+00,1.32166e+02,3.52005e+02
alkane_060,064,32,241,2.17774e+02,4.36695e+00,1.45232e+02,3.67375e+02
alkane_060,080,08,241,2.15873e+02,7.12818e+00,1.73546e+02,3.96565e+02
alkane_060,080,16,241,1.82157e+02,4.76129e+00,1.55422e+02,3.42341e+02
alkane_060,080,32,241,1.95514e+02,4.13474e+00,1.62850e+02,3.62500e+02
alkane_060,096,08,241,2.24343e+02,7.14282e+00,1.50736e+02,3.82226e+02
alkane_060,096,16,241,1.78012e+02,4.61877e+00,1.27109e+02,3.09741e+02
alkane_060,096,32,241,1.89573e+02,4.07918e+00,1.48107e+02,3.41760e+02
alkane_060,112,08,241,1.77522e+02,6.99104e+00,1.73790e+02,3.58303e+02
alkane_060,112,16,241,1.47834e+02,4.69750e+00,1.34863e+02,2.87396e+02
alkane_060,112,32,241,1.51449e+02,4.07922e+00,1.59628e+02,3.15157e+02
alkane_060,128,08,241,1.91439e+02,7.06497e+00,1.32890e+02,3.31396e+02
alkane_060,128,16,241,1.40974e+02,4.62896e+00,1.12034e+02,2.57638e+02
alkane_060,128,32,241,1.47656e+02,3.98426e+00,1.24439e+02,2.76081e+02
alkane_070,032,16,281,4.94779e+02,7.33810e+00,2.49514e+02,7.51632e+02
alkane_070,032,32,281,5.30511e+02,5.19238e+00,2.24447e+02,7.60152e+02
alkane_070,048,16,281,3.73434e+02,7.40732e+00,2.13268e+02,5.94110e+02
alkane_070,048,32,281,3.79820e+02,5.25182e+00,2.09190e+02,5.94264e+02
alkane_070,064,08,281,3.32612e+02,1.15730e+01,2.54091e+02,5.98277e+02
alkane_070,064,16,281,3.07221e+02,7.39033e+00,2.42960e+02,5.57572e+02
alkane_070,064,32,281,3.05457e+02,5.48581e+00,2.16622e+02,5.27567e+02
alkane_070,080,16,281,2.84950e+02,7.34616e+00,1.90086e+02,4.82383e+02
alkane_070,080,32,281,2.77676e+02,5.72549e+00,1.93366e+02,4.76769e+02
alkane_070,096,08,281,2.68098e+02,1.20168e+01,2.17978e+02,4.98094e+02
alkane_070,096,16,281,2.27987e+02,7.53635e+00,1.83662e+02,4.19187e+02
alkane_070,096,32,281,2.45629e+02,5.49965e+00,2.07453e+02,4.58583e+02
alkane_070,112,08,281,2.89629e+02,1.18722e+01,2.08646e+02,5.10148e+02
alkane_070,112,16,281,2.35989e+02,7.60838e+00,1.76984e+02,4.20583e+02
alkane_070,112,32,281,2.40560e+02,5.17042e+00,2.05340e+02,4.51073e+02
alkane_070,128,08,281,2.37559e+02,1.22925e+01,2.25712e+02,4.75571e+02
alkane_070,128,16,281,1.98486e+02,7.41421e+00,1.99062e+02,4.04963e+02
alkane_070,128,32,281,2.02922e+02,5.47192e+00,2.16506e+02,4.24901e+02
alkane_070,144,08,281,2.40542e+02,1.21987e+01,1.80723e+02,4.33466e+02
alkane_070,144,16,281,1.79848e+02,7.56944e+00,1.53569e+02,3.40988e+02
alkane_070,144,32,281,1.78170e+02,5.22191e+00,1.69266e+02,3.52660e+02
alkane_090,064,32,361,5.95967e+02,7.66793e+00,3.65326e+02,9.68964e+02
alkane_090,080,32,361,4.92546e+02,8.23429e+00,3.36608e+02,8.37390e+02
alkane_090,096,32,361,4.10075e+02,7.49915e+00,3.15271e+02,7.32847e+02
alkane_090,112,16,361,4.02795e+02,6.32338e+00,3.38322e+02,7.47442e+02
alkane_090,112,32,361,4.05175e+02,7.49732e+00,3.55080e+02,7.67754e+02
alkane_090,128,16,361,3.48726e+02,6.33556e+00,3.97915e+02,7.52978e+02
alkane_090,128,32,361,3.57671e+02,8.04990e+00,2.94446e+02,6.60169e+02
alkane_090,144,16,361,3.59147e+02,6.84360e+00,4.14250e+02,7.80242e+02
alkane_090,144,32,361,3.66494e+02,7.72729e+00,3.14052e+02,6.88276e+02
alkane_090,160,08,361,3.66424e+02,6.19305e+00,3.67785e+02,7.40403e+02
alkane_090,160,16,361,3.11391e+02,6.65229e+00,2.83109e+02,6.01154e+02
alkane_090,160,32,361,3.14068e+02,7.47709e+00,3.40889e+02,6.62437e+02
